"","generic","english","brandname","class_indication","searchterm"
"387","granisetroni","granisetron","Granisetron Stada|Kytril|Granisetron Stada|Kytril|Granisetron Fresenius Kabi|Granisetron Fresenius Kabi|Granisetron Hameln|Granisetron Hameln|Granisetron Baxter|Granisetron Baxter",NA,"granisetroni|granisetron|granisetron stada|kytril|granisetron stada|kytril|granisetron fresenius kabi|granisetron fresenius kabi|granisetron hameln|granisetron hameln|granisetron baxter|granisetron baxter"
"388",NA,"Guiafenesin","Robitussin",NA,"guiafenesin|robitussin"
"389","hyaluronihappo","hyaluronic acid","Hyalgan|Hyalgan",NA,"hyaluronihappo|hyaluronic acid|hyalgan|hyalgan"
"390",NA,"Hydralazine","Apresoline",NA,"hydralazine|apresoline"
"391","ketiapiini","quetiapine","Ketipinor|Quetiapin Mylan|Quetiapine Teva|Seroquel|Quetiapine Accord|Quetiapine Accord|Ketipinor|Quetiapine Teva|Ketipinor|Quetiapine Accord|Quetiapin Mylan|Seroquel|Quetiapine Accord|Ketipinor|Quetiapine Teva|Quetiapine Accord|Ketipinor|Quetiapin Mylan|Quetiapine Accord|Seroquel|Ketipinor|Quetiapine Teva|Quetiapine Teva|Seroquel|Ketipinor|Quetiapin Mylan|Quetiapine Accord|Quetiapine Teva|Ketipinor|Quetiapin Medical Valley|Quetiapine Accord|Biquetan|Seroquel Prolong|Quetiapin Krka|Quetiapin Hexal|Biquetan|Ketipinor|Quetiapin Hexal|Quetiapin Ratiopharm|Quetiapin Krka|Ketipinor|Quetiapine Accord|Quetiapin Ratiopharm|Biquetan|Quetiapine Accord|Seroquel Prolong|Quetiapin Ratiopharm|Quetiapin Medical Valley|Quetiapin Hexal|Biquetan|Quetiapin Krka|Ketipinor|Quetiapine Accord|Ketipinor|Quetiapin Krka|Quetiapin Krka|Quetiapin Krka|Seroquel Prolong|Quetiapin Hexal|Quetiapin Ratiopharm|Quetiapine Accord|Ketipinor|Quetiapine Accord|Quetiapine Accord|Ketipinor|Ketipinor|Biquetan|Quetiapin Medical Valley|Quetiapin Ratiopharm|Biquetan|Quetiapin Hexal|Biquetan|Seroquel Prolong|Quetiapin Ratiopharm|Quetiapin Krka|Biquetan|Quetiapin Ratiopharm|Quetiapin Krka|Quetiapin Hexal|Ketipinor|Ketipinor|Biquetan|Quetiapin Hexal|Quetiapin Medical Valley|Quetiapine Accord|Quetiapine Accord|Quetiapine Accord","Antipsychotic","ketiapiini|quetiapine|ketipinor|quetiapin mylan|quetiapine teva|seroquel|quetiapine accord|quetiapine accord|ketipinor|quetiapine teva|ketipinor|quetiapine accord|quetiapin mylan|seroquel|quetiapine accord|ketipinor|quetiapine teva|quetiapine accord|ketipinor|quetiapin mylan|quetiapine accord|seroquel|ketipinor|quetiapine teva|quetiapine teva|seroquel|ketipinor|quetiapin mylan|quetiapine accord|quetiapine teva|ketipinor|quetiapin medical valley|quetiapine accord|biquetan|seroquel prolong|quetiapin krka|quetiapin hexal|biquetan|ketipinor|quetiapin hexal|quetiapin ratiopharm|quetiapin krka|ketipinor|quetiapine accord|quetiapin ratiopharm|biquetan|quetiapine accord|seroquel prolong|quetiapin ratiopharm|quetiapin medical valley|quetiapin hexal|biquetan|quetiapin krka|ketipinor|quetiapine accord|ketipinor|quetiapin krka|quetiapin krka|quetiapin krka|seroquel prolong|quetiapin hexal|quetiapin ratiopharm|quetiapine accord|ketipinor|quetiapine accord|quetiapine accord|ketipinor|ketipinor|biquetan|quetiapin medical valley|quetiapin ratiopharm|biquetan|quetiapin hexal|biquetan|seroquel prolong|quetiapin ratiopharm|quetiapin krka|biquetan|quetiapin ratiopharm|quetiapin krka|quetiapin hexal|ketipinor|ketipinor|biquetan|quetiapin hexal|quetiapin medical valley|quetiapine accord|quetiapine accord|quetiapine accord"
"392",NA,"Quetiapin","Seroquel|ketipinor","Antipsychotic","quetiapin|seroquel|ketipinor"
"393","risperidoni","risperidon","Risperdal|Risperidon Ratiopharm|Risperidon Sandoz|Risperidon Krka|Rismyl|Risperidon Orion|Risperidon Sandoz|Risperidon Krka|Risperidon Krka|Risperidone Stada|Risperidon Orion|Rismyl|Risperidone Stada|Risperidon Ratiopharm|Risperidon Orion|Risperidon Orion|Risperidon Krka|Risperidon Krka|Risperidon Ratiopharm|Risperidon Sandoz|Risperidon Ratiopharm|Risperidon Ratiopharm|Risperdal|Risperdal|Risperdal|Risperdal|Risperidon Sandoz|Risperidon Orion|Risperdal|Risperidon Orion|Risperidon Krka|Risperidon Krka|Risperidon Sandoz|Risperidon Ratiopharm|Risperidon Ratiopharm|Risperdal|Risperidon Orion|Risperidon Krka|Risperidon Ratiopharm|Risperidon Ratiopharm|Risperdal|Risperidon Ratiopharm|Risperidon Orion|Risperidon Krka|Risperidon Ratiopharm|Risperdal|Risperdal Consta|Risperdal Consta|Risperdal Consta","Antipsychotic","risperidoni|risperidon|risperdal|risperidon ratiopharm|risperidon sandoz|risperidon krka|rismyl|risperidon orion|risperidon sandoz|risperidon krka|risperidon krka|risperidone stada|risperidon orion|rismyl|risperidone stada|risperidon ratiopharm|risperidon orion|risperidon orion|risperidon krka|risperidon krka|risperidon ratiopharm|risperidon sandoz|risperidon ratiopharm|risperidon ratiopharm|risperdal|risperdal|risperdal|risperdal|risperidon sandoz|risperidon orion|risperdal|risperidon orion|risperidon krka|risperidon krka|risperidon sandoz|risperidon ratiopharm|risperidon ratiopharm|risperdal|risperidon orion|risperidon krka|risperidon ratiopharm|risperidon ratiopharm|risperdal|risperidon ratiopharm|risperidon orion|risperidon krka|risperidon ratiopharm|risperdal|risperdal consta|risperdal consta|risperdal consta"
"394","hydrokortisoni","hydrocortisone","Ampikyy|Kyypakkaus|Hydrocortison-Ratiopharm|Hydrocortison-Ratiopharm|Hydrocortison-Ratiopharm|Hydrocortison|Hydrocortison|Hydrocortison|Hydrocortison|Solu-Cortef|Solu-Cortef|Hydrocortison",NA,"hydrokortisoni|hydrocortisone|ampikyy|kyypakkaus|hydrocortison-ratiopharm|hydrocortison-ratiopharm|hydrocortison-ratiopharm|hydrocortison|hydrocortison|hydrocortison|hydrocortison|solu-cortef|solu-cortef|hydrocortison"
"395","hydrokortisoni ja antibiootit","hydrocortisone and antibiotics","Pimafucort|Pimafucort|Pimafucort|Pimafucort|Pimafucort|Fucidin-Hydrocortison|Fucidin-Hydrocortison|Fucidin-Hydrocortison|Fucidin-Hydrocortison|Fucidin-Hydrocortison",NA,"hydrokortisoni ja antibiootit|hydrocortisone and antibiotics|pimafucort|pimafucort|pimafucort|pimafucort|pimafucort|fucidin-hydrocortison|fucidin-hydrocortison|fucidin-hydrocortison|fucidin-hydrocortison|fucidin-hydrocortison"
"396","hydrokortisoni ja mikrobilääkkeet","hydrocortisone and antimicrobials","Ciproxin-Hydrocortison|Ciproxin-Hydrocortison|Ciproxin-Hydrocortison",NA,"hydrokortisoni ja mikrobilääkkeet|hydrocortisone and antimicrobials|ciproxin-hydrocortison|ciproxin-hydrocortison|ciproxin-hydrocortison"
"397","hydrokortisonibutyraatti","hydrocortisone butyrate","Bucort|Bucort|Locoid|Locoid|Locoid",NA,"hydrokortisonibutyraatti|hydrocortisone butyrate|bucort|bucort|locoid|locoid|locoid"
"398","hydromorfoni","hydromorphone","Hydromorphone Kalceks|Palladon|Hydofon",NA,"hydromorfoni|hydromorphone|hydromorphone kalceks|palladon|hydofon"
"399","hydroksokobalamiini","hydroxocobalamin","Cyanokit|Cyanokit",NA,"hydroksokobalamiini|hydroxocobalamin|cyanokit|cyanokit"
"400","hydroksikarbamidi","Hydroxycarbamide","Hydrea|Hydrea|Hydrea|Hydroxyurea Medac|Hydrea|Hydrea|Oribamide",NA,"hydroksikarbamidi|hydroxycarbamide|hydrea|hydrea|hydrea|hydroxyurea medac|hydrea|hydrea|oribamide"
"401","hydroksitsiini","hydroxyzine","Atarax|Atarax|Atarax|Atarax|Hydroxyzine Orifarm|Hydroxyzine Orifarm|Atarax|Atarax",NA,"hydroksitsiini|hydroxyzine|atarax|atarax|atarax|atarax|hydroxyzine orifarm|hydroxyzine orifarm|atarax|atarax"
"402","ibandronihappo","ibandronic acid","Clastec|Ibandronat Stada|Bonviva|Ibandronat Sanoswiss|Ibandronat Stada|Ibandronate ratiopharm|Ibandronate ratiopharm|Clastec|Ibandronate ratiopharm|Ibandronat Sanoswiss|Ibandronic Acid Accord",NA,"ibandronihappo|ibandronic acid|clastec|ibandronat stada|bonviva|ibandronat sanoswiss|ibandronat stada|ibandronate ratiopharm|ibandronate ratiopharm|clastec|ibandronate ratiopharm|ibandronat sanoswiss|ibandronic acid accord"
"403","ibrutinibi","ibrutinib","Imbruvica|Imbruvica|Imbruvica|Imbruvica",NA,"ibrutinibi|ibrutinib|imbruvica|imbruvica|imbruvica|imbruvica"
"404",NA,"Risperidone","Risperdal","Antipsychotic","risperidone|risperdal"
"405",NA,"Benzonatat","Tessalon",NA,"benzonatat|tessalon"
"406","ibutilidi","ibutilides","Corvert|Corvert",NA,"ibutilidi|ibutilides|corvert|corvert"
"407","ikatibantti","icatibant","Firazyr|Firazyr|Firazyr",NA,"ikatibantti|icatibant|firazyr|firazyr|firazyr"
"408","idarubisiini","idarubicin","Zavedos|Zavedos|Zavedos|Zavedos|Zavedos|Idarubicin Accord|Zavedos|Idarubicin Accord",NA,"idarubisiini|idarubicin|zavedos|zavedos|zavedos|zavedos|zavedos|idarubicin accord|zavedos|idarubicin accord"
"409","idelalisibi","idelalisibi","Zydelig",NA,"idelalisibi|idelalisibi|zydelig"
"410","iloprosti","iloprost","Ilomedin|Ilomedin",NA,"iloprosti|iloprost|ilomedin|ilomedin"
"411","imatinibi","imatinib","Glivec|Imatinib Krka D.D.|Glivec|Imatinib Sandoz|Imatinib Koanaa|Imatinib Stada|Imatinib Mylan|Imatinib Orion|Imatinib Accord|Imatinib Accord|Imatinib ratiopharm|Imatinib Koanaa|Imatinib Accord|Imatinib ratiopharm|Imatinib Accord|Imatinib Sandoz|Imatinib Accord",NA,"imatinibi|imatinib|glivec|imatinib krka d.d.|glivec|imatinib sandoz|imatinib koanaa|imatinib stada|imatinib mylan|imatinib orion|imatinib accord|imatinib accord|imatinib ratiopharm|imatinib koanaa|imatinib accord|imatinib ratiopharm|imatinib accord|imatinib sandoz|imatinib accord"
"412","imidatsolit/triatsolit yhdistelmävalmisteina kortikosteroidien kanssa","imidazoles / triazoles in combination with corticosteroids","Daktacort|Daktacort|Daktacort|Daktacort|Pevisone|Pevisone|Pevisone",NA,"imidatsolit/triatsolit yhdistelmävalmisteina kortikosteroidien kanssa|imidazoles / triazoles in combination with corticosteroids|daktacort|daktacort|daktacort|daktacort|pevisone|pevisone|pevisone"
"413","imigluseraasi","imiglucerase","Cerezyme|Cerezyme|Cerezyme",NA,"imigluseraasi|imiglucerase|cerezyme|cerezyme|cerezyme"
"414","imikimodi","imiquimod","Aldara|Aldara|Aldara|Aldara|Zyclara|Zyclara|Zyclara",NA,"imikimodi|imiquimod|aldara|aldara|aldara|aldara|zyclara|zyclara|zyclara"
"415","abakaviiri","abacavir","Ziagen|Ziagen","antiviral","abakaviiri|abacavir|ziagen|ziagen"
"416","asikloviiri","aciclovir","Zovirax|Aclovir|Acyclostad|Acyrax|Acyrax|Aciclovir Sandoz|Aclovir|Aciclovir Sandoz|Zovirax|Aclovir|Zovirax|Aciclovir Sandoz|Acyrax|Acyclostad|Aclovir|Zovirax|Acyrax|Aciclovir Sandoz|Acyclostad|Aclomed|Zovirax|Zovirax|Zovirax|Herpolips|Xorox|Zovirax|Aciclovir Pfizer|Aciclovir Pfizer","antiviral","asikloviiri|aciclovir|zovirax|aclovir|acyclostad|acyrax|acyrax|aciclovir sandoz|aclovir|aciclovir sandoz|zovirax|aclovir|zovirax|aciclovir sandoz|acyrax|acyclostad|aclovir|zovirax|acyrax|aciclovir sandoz|acyclostad|aclomed|zovirax|zovirax|zovirax|herpolips|xorox|zovirax|aciclovir pfizer|aciclovir pfizer"
"417","indapamidi","indapamide","Natrilix Retard|Natrilix Retard|Indapamide Orion|Indapamide Orion",NA,"indapamidi|indapamide|natrilix retard|natrilix retard|indapamide orion|indapamide orion"
"418","infliksimabi","infliximab","Remicade|Remicade|Remsima|Remsima",NA,"infliksimabi|infliximab|remicade|remicade|remsima|remsima"
"419","asikloviiri, yhdistelmävalmisteet","aciclovir, combination products","Zoviduo|Zoviduo","antiviral","asikloviiri, yhdistelmävalmisteet|aciclovir, combination products|zoviduo|zoviduo"
"420",NA,"Acyclovir","Zovirax","antiviral","acyclovir|zovirax"
"421","atatsanaviiri","atazanavir","Reyataz|Atazanavir Stada|Atazanavir Accord|Atazanavir Krka|Reyataz|Atazanavir Stada|Reyataz","antiviral","atatsanaviiri|atazanavir|reyataz|atazanavir stada|atazanavir accord|atazanavir krka|reyataz|atazanavir stada|reyataz"
"422","vesirokkorokote, elävä heikennetty virus","chickenpox vaccine, a live attenuated virus","Varilrix|Varilrix","antiviral","vesirokkorokote, elävä heikennetty virus|chickenpox vaccine, a live attenuated virus|varilrix|varilrix"
"423","darunaviiri","darunavir","Prezista|Darunavir Medical Valley|Darunavir Krka|Darunavir Mylan|Darunavir STADA|Darunavir Sandoz|Darunavir Medical Valley|Darunavir Krka|Prezista|Darunavir Mylan|Prezista|Darunavir STADA|Darunavir Sandoz","antiviral","darunaviiri|darunavir|prezista|darunavir medical valley|darunavir krka|darunavir mylan|darunavir stada|darunavir sandoz|darunavir medical valley|darunavir krka|prezista|darunavir mylan|prezista|darunavir stada|darunavir sandoz"
"424","darunaviiri ja kobisistaatti","darunavir and cobicistat","Rezolsta|Rezolsta","antiviral","darunaviiri ja kobisistaatti|darunavir and cobicistat|rezolsta|rezolsta"
"425","dolutegraviiri","dolutegravir","Tivicay|Tivicay|Tivicay","antiviral","dolutegraviiri|dolutegravir|tivicay|tivicay|tivicay"
"426","dolutegraviiri ja rilpiviriini","dolutegravir and rilpivirine","Juluca|Juluca|Juluca","antiviral","dolutegraviiri ja rilpiviriini|dolutegravir and rilpivirine|juluca|juluca|juluca"
"427","doraviriini","doravirin","Pifeltro","antiviral","doraviriini|doravirin|pifeltro"
"428","interferoni beeta-1a","interferon beta-1a","Rebif|Rebif",NA,"interferoni beeta-1a|interferon beta-1a|rebif|rebif"
"429","interferoni beeta-1b","interferon beta-1b","Betaferon|Betaferon|Betaferon|Betaferon",NA,"interferoni beeta-1b|interferon beta-1b|betaferon|betaferon|betaferon|betaferon"
"430","ipratropiumbromidi","ipratropium bromide","Atrovent Nasal|Atrovent Nasal|Atrovent Nasal|Atrovent Eco|Atrovent Eco|Atrovent Eco",NA,"ipratropiumbromidi|ipratropium bromide|atrovent nasal|atrovent nasal|atrovent nasal|atrovent eco|atrovent eco|atrovent eco"
"431","efavirentsi","efavirenz","Efavirenz Aurobindo|Stocrin|Efavirenz Sandoz","antiviral","efavirentsi|efavirenz|efavirenz aurobindo|stocrin|efavirenz sandoz"
"432","irinotekaani","irinotecan","Irinotecan Accord|Irinotecan Medac|Irinotecan Medac|Irinotecan Fresenius Kabi|Irinotecan Fresenius Kabi|Irinotecan Pfizer|Irinotecan Pfizer|Irinotecan Pfizer|Irinotecan Accord|Irinotecan Accord|Irinotecan Accord",NA,"irinotekaani|irinotecan|irinotecan accord|irinotecan medac|irinotecan medac|irinotecan fresenius kabi|irinotecan fresenius kabi|irinotecan pfizer|irinotecan pfizer|irinotecan pfizer|irinotecan accord|irinotecan accord|irinotecan accord"
"433","rautaoksidipolymaltoosikompleksit","iron oxide polymaltose complexes","Maltofer|Maltofer|Maltofer|Maltofer|Maltofer|Maltofer|Maltofer",NA,"rautaoksidipolymaltoosikompleksit|iron oxide polymaltose complexes|maltofer|maltofer|maltofer|maltofer|maltofer|maltofer|maltofer"
"434","Rauta, parenteraaliset valmisteet","Iron, parenteral preparations","Ferinject|Ferinject|Ferinject|Ferinject|Ferinject",NA,"rauta, parenteraaliset valmisteet|iron, parenteral preparations|ferinject|ferinject|ferinject|ferinject|ferinject"
"435","isavukonatsoli","isavuconazole","Cresemba",NA,"isavukonatsoli|isavuconazole|cresemba"
"436","isosorbidimononitraatti","isosorbide","Isosorbide Mononitrate Vitabalans|Ormox|Ismox|Isosorbide Mononitrate Vitabalans|Ismox|Ismox|Ormox|Isangina|Isangina",NA,"isosorbidimononitraatti|isosorbide|isosorbide mononitrate vitabalans|ormox|ismox|isosorbide mononitrate vitabalans|ismox|ismox|ormox|isangina|isangina"
"437","isotretinoiini","isotretinoin","Isotretinoin Actavis|Isotretinoin Actavis|Isotretinoin Sanoswiss|Isotretinoin Orion|Isotretinoin Orifarm|Isotretinoin Orifarm|Isotretinoin Orifarm|Isotretinoin Orion|Isotretinoin Sanoswiss|Isotretinoin Sanoswiss|Isotretinoin Actavis|Isotretinoin Actavis",NA,"isotretinoiini|isotretinoin|isotretinoin actavis|isotretinoin actavis|isotretinoin sanoswiss|isotretinoin orion|isotretinoin orifarm|isotretinoin orifarm|isotretinoin orifarm|isotretinoin orion|isotretinoin sanoswiss|isotretinoin sanoswiss|isotretinoin actavis|isotretinoin actavis"
"438","itrakonatsoli","itraconazole","Sporanox|Sporanox|Sporanox|Sporanox|Sporanox|Sporanox",NA,"itrakonatsoli|itraconazole|sporanox|sporanox|sporanox|sporanox|sporanox|sporanox"
"439","ivabradiini","ivabradine","Procoralan|Procoralan|Ivabradine Accord|Ivabradine Accord|Procoralan|Procoralan|Ivabradine Accord|Ivabradine Accord",NA,"ivabradiini|ivabradine|procoralan|procoralan|ivabradine accord|ivabradine accord|procoralan|procoralan|ivabradine accord|ivabradine accord"
"440","ketamiini","ketamine","Ketamin Abcur|Ketalar",NA,"ketamiini|ketamine|ketamin abcur|ketalar"
"441","emtrisitabiini","emtricitabin","Emtriva","antiviral","emtrisitabiini|emtricitabin|emtriva"
"442","emtrisitabiini ja tenofoviirialafenamidi","emtricitabine and tenofovir alfenamide","Descovy|Descovy|Descovy|Descovy|Descovy","antiviral","emtrisitabiini ja tenofoviirialafenamidi|emtricitabine and tenofovir alfenamide|descovy|descovy|descovy|descovy|descovy"
"443","ketoprofeeni","Ketoprofen","Orudis|Keto|Keto|Keto|Ketorin",NA,"ketoprofeeni|ketoprofen|orudis|keto|keto|keto|ketorin"
"444","ketorolaakki","ketorolac","Ketorolac S.A.L.F.|Toradol",NA,"ketorolaakki|ketorolac|ketorolac s.a.l.f.|toradol"
"445","ketotifeeni","ketotifen","Zaditen|Zaditen|Zaditen|Zaditen|Zaditen|Zaditen|Zaditen|Zaditen",NA,"ketotifeeni|ketotifen|zaditen|zaditen|zaditen|zaditen|zaditen|zaditen|zaditen|zaditen"
"446","lakosamidi","lacosamide","Vimpat|Vimpat|Vimpat",NA,"lakosamidi|lacosamide|vimpat|vimpat|vimpat"
"447","emtrisitabiini, tenofoviirialafenamidi ja biktegraviiri","emtricitabine, tenofovir alfenamide and biktegravir","Biktarvy|Biktarvy|Biktarvy","antiviral","emtrisitabiini, tenofoviirialafenamidi ja biktegraviiri|emtricitabine, tenofovir alfenamide and biktegravir|biktarvy|biktarvy|biktarvy"
"448","emtrisitabiini, tenofoviirialafenamidi ja rilpiviriini","emtricitabine, tenofovir alfenamide and rilpivirine","Odefsey|Odefsey|Odefsey","antiviral","emtrisitabiini, tenofoviirialafenamidi ja rilpiviriini|emtricitabine, tenofovir alfenamide and rilpivirine|odefsey|odefsey|odefsey"
"449","emtrisitabiini, tenofoviirialafenamidi, darunaviiri ja kobisistaatti","emtricitabine, tenofovir alfenamide, darunavir and cobicistat","Symtuza|Symtuza|Symtuza","antiviral","emtrisitabiini, tenofoviirialafenamidi, darunaviiri ja kobisistaatti|emtricitabine, tenofovir alfenamide, darunavir and cobicistat|symtuza|symtuza|symtuza"
"450","emtrisitabiini, tenofoviirialafenamidi, elvitegraviiri ja kobisistaatti","emtricitabine, tenofovir alfenamide, elvitegravir and cobicistat","Genvoya|Genvoya|Genvoya|Genvoya","antiviral","emtrisitabiini, tenofoviirialafenamidi, elvitegraviiri ja kobisistaatti|emtricitabine, tenofovir alfenamide, elvitegravir and cobicistat|genvoya|genvoya|genvoya|genvoya"
"451","emtrisitabiini, tenofoviiridisoproksiili ja rilpiviriini","emtricitabine, tenofovir disopr","Eviplera|Eviplera|Eviplera","antiviral","emtrisitabiini, tenofoviiridisoproksiili ja rilpiviriini|emtricitabine, tenofovir disopr|eviplera|eviplera|eviplera"
"452","emtrisitabiini, tenofoviiridisoproksiili ja efavirentsi","emtricitabine, tenofovir disoproxil and efavirenz","Atripla|Atripla|Emtenef","antiviral","emtrisitabiini, tenofoviiridisoproksiili ja efavirentsi|emtricitabine, tenofovir disoproxil and efavirenz|atripla|atripla|emtenef"
"453","emtrisitabiini, tenofoviiridisoproksiili, elvitegraviiri ja kobisistaatti","emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat","Stribild|Stribild|Stribild|Stribild","antiviral","emtrisitabiini, tenofoviiridisoproksiili, elvitegraviiri ja kobisistaatti|emtricitabine, tenofovir disoproxil, elvitegravir and cobicistat|stribild|stribild|stribild|stribild"
"454","entekaviiri","entecavir","Baraclude|Entecavir Stada|Entecavir Accord|Baraclude|Entecavir Accord|Entecavir Stada","antiviral","entekaviiri|entecavir|baraclude|entecavir stada|entecavir accord|baraclude|entecavir accord|entecavir stada"
"455","lanadelumabi","lanadelumab","Takhzyro|Takhzyro",NA,"lanadelumabi|lanadelumab|takhzyro|takhzyro"
"456","lanreotidi","lanreotide","Somatuline Autogel|Somatuline Autogel|Somatuline Autogel|Somatuline Autogel|Somatuline Autogel|Somatuline Autogel|Somatuline Autogel|Somatuline Autogel|Somatuline Autogel|Somatuline Autogel",NA,"lanreotidi|lanreotide|somatuline autogel|somatuline autogel|somatuline autogel|somatuline autogel|somatuline autogel|somatuline autogel|somatuline autogel|somatuline autogel|somatuline autogel|somatuline autogel"
"457","famsikloviiri","famciclovir","Famvir|Famvir|Famvir|Famvir","antiviral","famsikloviiri|famciclovir|famvir|famvir|famvir|famvir"
"458","fosamprenaviiri","fosamprenavir","Telzir","antiviral","fosamprenaviiri|fosamprenavir|telzir"
"459","gansikloviiri","ganciclovir","Cymevene|Cymevene|Cymevene","antiviral","gansikloviiri|ganciclovir|cymevene|cymevene|cymevene"
"460","lapatinibi","lapatinib","Tyverb",NA,"lapatinibi|lapatinib|tyverb"
"461","latanoprosti","latanoprost","Latanoprost Sandoz|Latanoprost Pfizer|Xalatan|Xalatan|Oftastad|Oftastad|Monoprost|Monoprost|Monoprost",NA,"latanoprosti|latanoprost|latanoprost sandoz|latanoprost pfizer|xalatan|xalatan|oftastad|oftastad|monoprost|monoprost|monoprost"
"462",NA,"Latanoprost","Xalatan",NA,"latanoprost|xalatan"
"463","leflunomidi","leflunomide","Arava|Arava|Leflunomide Stada|Arava|Leflunomide Stada",NA,"leflunomidi|leflunomide|arava|arava|leflunomide stada|arava|leflunomide stada"
"464","lenalidomidi","lenalidomide","Revlimid|Revlimid|Revlimid|Revlimid|Revlimid|Revlimid",NA,"lenalidomidi|lenalidomide|revlimid|revlimid|revlimid|revlimid|revlimid|revlimid"
"465","lenvatinibi","lenvatinib","Lenvima|Lenvima",NA,"lenvatinibi|lenvatinib|lenvima|lenvima"
"466","inaktivoitu Japanin aivotulehdus -rokote (koko virus)","inactivated Japanese encephalitis vaccine (whole virus)","Ixiaro","antiviral","inaktivoitu japanin aivotulehdus -rokote (koko virus)|inactivated japanese encephalitis vaccine (whole virus)|ixiaro"
"467","inaktivoitu puutiaisaivotulehdusrokote (koko virus)","inactivated tick-borne encephalitis vaccine (whole virus)","Ticovac|Ticovac|Ticovac","antiviral","inaktivoitu puutiaisaivotulehdusrokote (koko virus)|inactivated tick-borne encephalitis vaccine (whole virus)|ticovac|ticovac|ticovac"
"468","lamivudiini","lamivudine","Zeffix|Epivir|Epivir","antiviral","lamivudiini|lamivudine|zeffix|epivir|epivir"
"469","letrotsoli","letrozole","Letrozole Bluefish|Letrozole Bluefish|Letrozole Sandoz|Letrozol Accord|Letrozol Accord|Letrolan|Femar|Letrozol Orion|Letrozole Sandoz|Letrozol Ratiopharm|Letrozol Ratiopharm|Letrozol Accord|Letrozol Orion|Letrozol Stada",NA,"letrotsoli|letrozole|letrozole bluefish|letrozole bluefish|letrozole sandoz|letrozol accord|letrozol accord|letrolan|femar|letrozol orion|letrozole sandoz|letrozol ratiopharm|letrozol ratiopharm|letrozol accord|letrozol orion|letrozol stada"
"470","leuproreliini","leuprorelin","Eligard|Eligard|Eligard|Eligard|Eligard|Eligard|Eligard|Eligard|Procren Depot PDS|Procren Depot Pds|Enanton Depot Dual|Enanton Depot Dual|Enanton Depot Dual|Leuprorelin Sandoz|Leuprorelin Sandoz",NA,"leuproreliini|leuprorelin|eligard|eligard|eligard|eligard|eligard|eligard|eligard|eligard|procren depot pds|procren depot pds|enanton depot dual|enanton depot dual|enanton depot dual|leuprorelin sandoz|leuprorelin sandoz"
"471","levetirasetaami","levetiracetam","Keppra|Keppra|Keppra|Keppra|Keppra|Keppra|Keppra|Levetiracetam Sandoz|Levetiracetam Sandoz|Levetiracetam Sandoz|Levetiracetam Sandoz",NA,"levetirasetaami|levetiracetam|keppra|keppra|keppra|keppra|keppra|keppra|keppra|levetiracetam sandoz|levetiracetam sandoz|levetiracetam sandoz|levetiracetam sandoz"
"472","levosetiritsiini","levocetirizine","Xyzal|Xyzal|Levocetirizin Ratiopharm|Nocedan|Nocedan|Levocetirizin Stada|Levocetirizin Stada|Levocetirizin Stada|Levazyr|Levazyr|Levazyr|Levocetirizin Ratiopharm|Xyzal|Levocetirizin Ratiopharm|Levocetirizin Ratiopharm|Levocetirizin Ratiopharm|Xyzal|Xyzal",NA,"levosetiritsiini|levocetirizine|xyzal|xyzal|levocetirizin ratiopharm|nocedan|nocedan|levocetirizin stada|levocetirizin stada|levocetirizin stada|levazyr|levazyr|levazyr|levocetirizin ratiopharm|xyzal|levocetirizin ratiopharm|levocetirizin ratiopharm|levocetirizin ratiopharm|xyzal|xyzal"
"473","levodopa ja dekarboksylaasin estäjä","levodopa","Sinemet|Kardopal",NA,"levodopa ja dekarboksylaasin estäjä|levodopa|sinemet|kardopal"
